index,barcode_date,amount,quarter,year,quarter_year,amount_percent_growth_qtq,amount_percent_growth_lyq
0,2021-03-31,66237500.0,q1,2021,q1-2021,0.0,0.0
1,2021-06-30,120548750.0,q2,2021,q2-2021,81.99471598414796,0.0
2,2021-09-30,36295000.0,q3,2021,q3-2021,-69.89184873339624,0.0
3,2021-12-31,45423000.0,q4,2021,q4-2021,25.14946962391513,0.0
4,2022-03-31,54072375.0,q1,2022,q1-2022,19.041840036985658,-18.365918097754296
5,2022-06-30,25192125.0,q2,2022,q2-2022,-53.4103597262003,-79.10212673296073
6,2022-09-30,23688000.0,q3,2022,q3-2022,-5.970615817442948,-34.73481195756991
7,2022-12-31,23494607.5,q4,2022,q4-2022,-0.8164154846335703,-48.275967021112656
8,2023-03-31,22862262.5,q1,2023,q1-2023,-2.691447388512447,-57.71914494231112
9,2023-06-30,84202300.0,q2,2023,q2-2023,268.30256847938824,234.24056128651313
10,2023-09-30,81540655.0,q3,2023,q3-2023,-3.1610122288821096,244.2276891252955
