index,barcode_date,amount,quarter,year,quarter_year,amount_percent_growth_qtq,amount_percent_growth_lyq
10,2020-09-30,1891104250.0,q3,2020,q3-2020,14.85139149426875,28.545241726163418
11,2020-12-31,1856008000.0,q4,2020,q4-2020,-1.8558601409731867,74.48476802016344
12,2021-03-31,2081184875.0,q1,2021,q1-2021,12.132322436110199,93.52824775552516
13,2021-06-30,2407039250.0,q2,2021,q2-2021,15.657156599314614,46.185387317394614
14,2021-09-30,3325397250.0,q3,2021,q3-2021,38.15301308443557,75.84420583899592
15,2021-12-31,3268342000.0,q4,2021,q4-2021,-1.715742382357477,76.09525389976768
16,2022-03-31,3220742875.0,q1,2022,q1-2022,-1.4563691621011565,54.75525090004319
17,2022-06-30,2740572625.0,q2,2022,q2-2022,-14.908680035502675,13.85658231372837
18,2022-09-30,2971825972.5,q3,2022,q3-2022,8.43813973001355,-10.632452333326492
19,2022-12-31,3439687107.5,q4,2022,q4-2022,15.74322114852571,5.242569703537758
20,2023-03-31,3458127242.5,q1,2023,q1-2023,0.5360991980867258,7.370484907150487
21,2023-06-30,3960510627.5,q2,2023,q2-2023,14.527614219215646,44.51398190916396
22,2023-09-30,5515883817.5,q3,2023,q3-2023,39.2720367722331,85.60588232762005
