index,barcode_date,amount,quarter,year,quarter_year,amount_percent_growth_qtq,amount_percent_growth_lyq
10,2020-09-30,268103500.0,q3,2020,q3-2020,4.757085712332043,5.896827975198904
11,2020-12-31,320318250.0,q4,2020,q4-2020,19.475594313390165,27.11703734569508
12,2021-03-31,212674000.0,q1,2021,q1-2021,-33.60540649806871,-29.09684947491249
13,2021-06-30,308308000.0,q2,2021,q2-2021,44.967414916727,20.466340729597587
14,2021-09-30,341556250.0,q3,2021,q3-2021,10.784102261374983,27.397161916946256
15,2021-12-31,367998750.0,q4,2021,q4-2021,7.741770206225174,14.885352301968435
16,2022-03-31,459050375.0,q1,2022,q1-2022,24.74237344556198,115.8469653084063
17,2022-06-30,311604370.0,q2,2022,q2-2022,-32.119787506981126,1.069180819180815
18,2022-09-30,295602667.5,q3,2022,q3-2022,-5.13526254461707,-13.454177020622515
19,2022-12-31,366551360.0,q4,2022,q4-2022,24.001370860430416,-0.393313835984499
20,2023-03-31,344692092.5,q1,2023,q1-2023,-5.9634937652393365,-24.91192442659479
21,2023-06-30,292391855.0,q2,2023,q2-2023,-15.173030840560987,-6.1656757252794625
22,2023-09-30,339838450.0,q3,2023,q3-2023,16.227057692834833,14.964608700630212
