index,barcode_date,amount,quarter,year,quarter_year,amount_percent_growth_qtq,amount_percent_growth_lyq
10,2020-09-30,59043250.0,q3,2020,q3-2020,-22.488972615328063,-6.824081745374211
11,2020-12-31,54311250.0,q4,2020,q4-2020,-8.014463973443197,1.0517061734826694
12,2021-03-31,52505250.0,q1,2021,q1-2021,-3.3252779120347964,-26.46323529411765
13,2021-06-30,51394000.0,q2,2021,q2-2021,-2.116455021164554,-32.53078478220915
14,2021-09-30,46649750.0,q3,2021,q3-2021,-9.231135930264234,-20.9905450665402
15,2021-12-31,7740950.0,q4,2021,q4-2021,-83.40623476010055,-85.74705977122603
16,2022-03-31,11098500.0,q1,2022,q1-2022,43.37387529954333,-78.86211378862113
17,2022-06-30,50643337.5,q2,2022,q2-2022,356.3079470198676,-1.4606033778262084
18,2022-09-30,47741067.5,q3,2022,q3-2022,-5.730803188079769,2.3393855272536346
19,2022-12-31,52748955.0,q4,2022,q4-2022,10.489684798103859,581.427408780576
20,2023-03-31,50859077.5,q1,2023,q1-2023,-3.5827771374807305,358.2518133081047
21,2023-06-30,29574020.0,q2,2023,q2-2023,-41.85104910721198,-41.60333528571256
22,2023-09-30,42616087.5,q3,2023,q3-2023,44.099745317004576,-10.734950574785529
