index,barcode_date,amount,quarter,year,quarter_year,amount_percent_growth_qtq,amount_percent_growth_lyq
0,2020-09-30,27585250.0,q3,2020,q3-2020,0.0,0.0
1,2020-12-31,53973500.0,q4,2020,q4-2020,95.66072448138046,0.0
2,2021-03-31,31149562.5,q1,2021,q1-2021,-42.28730302833799,0.0
3,2021-06-30,46156250.0,q2,2021,q2-2021,48.176238430315024,0.0
4,2021-09-30,38022250.0,q3,2021,q3-2021,-17.622748815165878,37.83543741673539
5,2021-12-31,49155312.5,q4,2021,q4-2021,29.280388456758864,-8.926950262628885
6,2022-03-31,97156500.0,q1,2022,q1-2022,97.65208490943884,211.90325706821724
7,2022-06-30,152801250.0,q2,2022,q2-2022,57.27331676213121,231.05213270142178
8,2022-09-30,224665000.0,q3,2022,q3-2022,47.030865257974,490.87770976204723
9,2022-12-31,219129750.0,q4,2022,q4-2022,-2.4637794048917305,345.79057451826804
10,2023-03-31,338957500.0,q1,2023,q1-2023,54.683469496953286,248.87784142080048
11,2023-06-30,267165500.0,q2,2023,q2-2023,-21.180236460323197,74.84510107083548
12,2023-09-30,619031000.0,q3,2023,q3-2023,131.70319521045943,175.53513008256738
