index,barcode_date,amount,quarter,year,quarter_year,amount_percent_growth_qtq,amount_percent_growth_lyq
10,2020-09-30,794351250.0,q3,2020,q3-2020,13.229503555298905,17.238591633692522
11,2020-12-31,648492250.0,q4,2020,q4-2020,-18.3620281330205,-16.960799362696932
12,2021-03-31,734771625.0,q1,2021,q1-2021,13.304611581711278,57.07447644272856
13,2021-06-30,660780750.0,q2,2021,q2-2021,-10.069914580601836,-5.810085549184851
14,2021-09-30,798686000.0,q3,2021,q3-2021,20.870046532075893,0.5456968815747532
15,2021-12-31,593509000.0,q4,2021,q4-2021,-25.689319707619763,-8.47862869602528
16,2022-03-31,791131250.0,q1,2022,q1-2022,33.29726255204217,7.670359480743416
17,2022-06-30,614021450.0,q2,2022,q2-2022,-22.386904827738764,-7.0763713985312116
18,2022-09-30,769684125.0,q3,2022,q3-2022,25.351341553295903,-3.6311986187312684
19,2022-12-31,940551307.5,q4,2022,q4-2022,22.19965008372753,58.472964605422995
20,2023-03-31,1018393302.5,q1,2023,q1-2023,8.276209323115523,28.726213570757064
21,2023-06-30,1152907000.0,q2,2023,q2-2023,13.208423226055132,87.76331022312004
22,2023-09-30,1726708462.5,q3,2023,q3-2023,49.76996952052508,124.33988261093472
