,index,barcode_date,amount,quantity,month,year,month_year,amount_last_1_month,amount_growth_mtm,amount_last_12_month,amount_growth_lym,quantity_last_1_month,quantity_growth_mtm,quantity_last_12_month,quantity_growth_lym,amount_mat,amount_ly_mat,amount_growth_mat,quantity_mat,quantity_ly_mat,quantity_growth_mat,amount_ytd,amount_ly_ytd,amount_growth_ytd,quantity_ytd,quantity_ly_ytd,quantity_growth_ytd,amount_percent_growth_mtm,amount_percent_growth_lym,amount_percent_growth_mat,amount_percent_growth_ytd,quantity_percent_growth_mtm,quantity_percent_growth_lym,quantity_percent_growth_mat,quantity_percent_growth_ytd
0,43,2021-09-30,1605418237.5,9138.0,Sep,2021,Sep-2021,1531350625.0,74067612.5,1076360250.0,529057987.5,8682.5,455.5,6123.0,3015.0,15015022575.0,10383559900.0,4631462675.0,84916.5,57884.0,27032.5,11912640075.0,8072378650.0,3840261425.0,67451.5,45618.0,21833.5,4.836750727809314,49.15250145107086,44.603803701272035,47.57286038607715,5.246184854592562,49.2405683488486,46.701160942574816,47.86158972335481
1,44,2021-10-31,1736108150.0,10180.0,Oct,2021,Oct-2021,1605418237.5,130689912.5,1028459687.5,707648462.5,9138.0,1042.0,5762.5,4417.5,15722671037.5,10465549587.5,5257121450.0,89334.0,59063.5,30270.5,13648748225.0,9100838337.5,4547909887.5,77631.5,51380.5,26251.0,8.140552377398791,68.80663103287654,50.232636194080804,49.97242802083781,11.402932808054288,76.65943600867679,51.25077247369356,51.091367347534565
2,45,2021-11-30,1244796175.0,7444.0,Nov,2021,Nov-2021,1736108150.0,-491311975.0,1125681375.0,119114800.0,10180.0,-2736.0,6379.0,1065.0,15841785837.5,10858663462.5,4983122375.0,90399.0,61439.0,28960.0,14893544400.0,10226519712.5,4667024687.5,85075.5,57759.5,27316.0,-28.29961802782851,10.581573315983839,45.89075250567469,45.636490406364146,-26.876227897838902,16.69540680357422,47.13618385715914,47.29265315662359
3,46,2021-12-31,1522970400.0,8901.5,Dec,2021,Dec-2021,1244796175.0,278174225.0,948241437.5,574728962.5,7444.0,1457.5,5323.5,3578.0,16416514800.0,11174761150.0,5241753650.0,93977.0,63083.0,30894.0,16416514800.0,11174761150.0,5241753650.0,93977.0,63083.0,30894.0,22.34696977599566,60.60998178008858,46.90707550380171,46.90707550380171,19.579527135948418,67.2114210575749,48.97357449709114,48.97357449709114
4,47,2022-01-31,2461467312.5,14703.0,Jan,2022,Jan-2022,1522970400.0,938496912.5,944237875.0,1517229437.5,8901.5,5801.5,5274.5,9428.5,17933744237.5,11466625712.5,6467118525.0,103405.5,64627.5,38778.0,2461467312.5,944237875.0,1517229437.5,14703.0,5274.5,9428.5,61.62279401490667,160.6829674672815,56.39949089774565,160.6829674672815,65.17440880750436,178.7562802161342,60.00232099338516,178.7562802161342
5,48,2022-02-28,1123577437.5,5998.5,Feb,2022,Feb-2022,2461467312.5,-1337889875.0,1192166500.0,-68589062.5,14703.0,-8704.5,6912.5,-914.0,17865155175.0,11925037775.0,5940117400.0,102491.5,67447.0,35044.5,3585044750.0,2136404375.0,1448640375.0,20701.5,12187.0,8514.5,-54.35334721715912,-5.753312351924,49.81214745040923,67.80740537474325,-59.20220363191186,-13.222423146473783,51.9585748810177,69.86543037663084
6,49,2022-03-31,1447892950.0,7340.0,Mar,2022,Mar-2022,1123577437.5,324315512.5,1217607125.0,230285825.0,5998.5,1341.5,6957.0,383.0,18095441000.0,12469222150.0,5626218850.0,102874.5,70692.0,32182.5,5032937700.0,3354011500.0,1678926200.0,28041.5,19144.0,8897.5,28.864544772420288,18.912982707784344,45.12084861684818,50.0572583009927,22.363924314411943,5.505246514302131,45.52495331862163,46.47670288340995
7,50,2022-04-30,1453985137.5,7500.0,Apr,2022,Apr-2022,1447892950.0,6092187.5,1235887625.0,218097512.5,7340.0,160.0,6804.0,696.0,18313538512.5,12530858025.0,5782680487.5,103570.5,70869.5,32701.0,6486922837.5,4589899125.0,1897023712.5,35541.5,25948.0,9593.5,0.42076228770917545,17.64703425200167,46.147522188529464,41.33040097041349,2.1798365122615904,10.229276895943574,46.14255779989982,36.972020965006934
8,51,2022-05-31,1596788051.25,8649.0,May,2022,May-2022,1453985137.5,142802913.75,1144539725.0,452248326.25,7500.0,1149.0,6421.0,2228.0,18765786838.75,12851873125.0,5913913713.75,105798.5,72570.0,33228.5,8083710888.75,5734438850.0,2349272038.75,44190.5,32369.0,11821.5,9.821483732325987,39.51355434604946,46.01596713747516,40.96777557842473,15.32,34.69864507086125,45.78820449221441,36.5210540949674
9,52,2022-06-30,1276162606.25,6787.5,Jun,2022,Jun-2022,1596788051.25,-320625445.0,1403458000.0,-127295393.75,8649.0,-1861.5,7974.5,-1187.0,18638491445.0,13406440687.5,5232050757.5,104611.5,75822.5,28789.0,9359873495.0,7137896850.0,2221976645.0,50978.0,40343.5,10634.5,-20.07939906295062,-9.070124916456358,39.02639693455923,31.129290485614124,-21.522719389524802,-14.884945764624746,37.96894061789047,26.35988449192559
10,53,2022-07-31,1625912881.25,8465.5,Jul,2022,Jul-2022,1276162606.25,349750275.0,1637974362.5,-12061481.25,6787.5,1678.0,9287.5,-822.0,18626429963.75,13925399337.5,4701030626.25,103789.5,78757.5,25032.0,10985786376.25,8775871212.5,2209915163.75,59443.5,49631.0,9812.5,27.406403642223953,-0.7363656920484907,33.75867730838065,25.18171826179816,24.721915285451203,-8.85060565275908,31.783639653366347,19.77090931071306
11,54,2022-08-31,1520177960.0,7766.0,Aug,2022,Aug-2022,1625912881.25,-105734921.25,1531350625.0,-11172665.0,8465.5,-699.5,8682.5,-916.5,18615257298.75,14485964587.5,4129292711.25,102873.0,81901.5,20971.5,12505964336.25,10307221837.5,2198742498.75,67209.5,58313.5,8896.0,-6.503111111876492,-0.7295954837253538,28.505472910055186,21.33205759432166,-8.262949619041994,-10.555715519723584,25.60575813629786,15.255472574961203
12,55,2022-09-30,1707398402.5,8888.0,Sep,2022,Sep-2022,1520177960.0,187220442.5,1605418237.5,101980165.0,7766.0,1122.0,9138.0,-250.0,18717237463.75,15015022575.0,3702214888.75,102623.0,84916.5,17706.5,14213362738.75,11912640075.0,2300722663.75,76097.5,67451.5,8646.0,12.315692466689887,6.352249066187654,24.656738744530315,19.313289491372476,14.44759206798867,-2.7358284088422002,20.851660160275088,12.818098930342536
13,56,2022-10-31,1719907498.75,9094.0,Oct,2022,Oct-2022,1707398402.5,12509096.25,1736108150.0,-16200651.25,8888.0,206.0,10180.0,-1086.0,18701036812.5,15722671037.5,2978365775.0,101537.0,89334.0,12203.0,15933270237.5,13648748225.0,2284522012.5,85191.5,77631.5,7560.0,0.7326407376089916,-0.9331591035961706,18.943128479228033,16.737959956763724,2.3177317731773117,-10.667976424361491,13.659972686770994,9.738314988116947
